hex_color,r,g,b,our_munsell,our_hue_num,our_hue_family,our_value,our_chroma,closest_rgb_r,closest_rgb_g,closest_rgb_b,closest_munsell,closest_hue_num,closest_hue_family,closest_value,closest_chroma,hue_diff_circular,value_diff,chroma_diff,rgb_distance
#00a1c2,0,161,194,3.6B 6.0/7.9,3.6,B,6.0,7.9,0,153,187,3.9B 5.7/7.7,3.9,B,5.7,7.7,0.30,0.30,0.20,10.6
#4997d0,73,151,208,9.2B 5.9/8.4,9.2,B,5.9,8.4,68,153,204,9.1B 5.9/8.0,9.1,B,5.9,8.0,0.10,0.00,0.40,6.7
#0067a5,0,103,165,3.2PB 4.1/9.6,3.2,PB,4.1,9.6,0,102,170,2.9PB 4.1/9.7,2.9,PB,4.1,9.7,0.30,0.00,-0.10,5.1
#00416a,0,65,106,3.6B 2.6/6.5,3.6,B,2.6,6.5,0,68,102,9.1B 2.7/5.3,9.1,B,2.7,5.3,5.50,-0.10,1.20,5.0
#a1caf1,161,202,241,8.6B 8.0/5.2,8.6,B,8.0,5.2,153,204,238,7.7B 7.9/5.1,7.7,B,7.9,5.1,0.90,0.10,0.10,8.8
#70a3cc,112,163,204,9.2B 6.4/6.0,9.2,B,6.4,6.0,119,170,204,7.9B 6.6/5.4,7.9,B,6.6,5.4,1.30,-0.20,0.60,9.9
#436b95,67,107,149,10B 4.3/6.2,10,B,4.3,6.2,68,102,153,4.0PB 4.2/6.8,4,PB,4.2,6.8,4.00,0.10,-0.60,6.5
#00304e,0,48,78,1.6PB 1.7/5.2,1.6,PB,1.7,5.2,0,51,85,1.2PB 2.0/5.3,1.2,PB,2.0,5.3,0.40,-0.30,-0.10,7.6
#bcd4e6,188,212,230,3.8B 8.5/2.6,3.8,B,8.5,2.6,187,204,238,2.6PB 8.1/3.8,2.6,PB,8.1,3.8,8.80,0.40,-1.20,11.4
#91a3b0,145,163,176,7.9B 6.5/2.1,7.9,B,6.5,2.1,136,170,170,3.1BG 6.6/2.8,3.1,BG,6.6,2.8,14.80,-0.10,-0.70,12.9
#536878,83,104,120,7.4B 4.2/2.4,7.4,B,4.2,2.4,85,102,119,8.1B 4.2/2.3,8.1,B,4.2,2.3,0.70,0.00,0.10,3.0
#36454f,54,69,79,10BG 2.8/2.1,10,BG,2.8,2.1,51,68,85,9.0B 2.8/2.3,9,B,2.8,2.3,9.00,0.00,-0.20,6.8
#202830,32,40,48,2.5B 1.4/1.6,2.5,B,1.4,1.6,34,34,51,7.1PB 1.4/1.8,7.1,PB,1.4,1.8,14.60,0.00,-0.20,7.0
#e9e9ed,233,233,237,10GY 9.5/1.6,10,GY,9.5,1.6,238,238,238,8.4GY 9.4/1.3,8.4,GY,9.4,1.3,1.60,0.10,0.30,7.1
#b4bcc0,180,188,192,7.7G 7.5/1.4,7.7,G,7.5,1.4,187,187,187,8.2GY 7.5/0.8,8.2,GY,7.5,0.8,9.50,0.00,0.60,8.7
#81878b,129,135,139,5.1G 5.4/1.3,5.1,G,5.4,1.3,136,136,136,7.8GY 5.6/0.7,7.8,GY,5.6,0.7,7.30,-0.20,0.60,7.7
#51585e,81,88,94,1.1BG 3.8/1.8,1.1,BG,3.8,1.8,85,85,102,6.2PB 3.6/1.5,6.2,PB,3.6,1.5,25.10,0.20,0.30,9.4
#202428,32,36,40,2.1B 1.2/0.7,2.1,B,1.2,0.7,34,34,34,6.3GY 1.3/0.4,6.3,GY,1.3,0.4,25.80,-0.10,0.30,6.6
#30267a,48,38,122,8.2PB 1.9/10.3,8.2,PB,1.9,10.3,51,34,119,8.7PB 2.0/11.1,8.7,PB,2.0,11.1,0.50,-0.10,-0.80,5.8
#6c79b8,108,121,184,7.6PB 5.1/8.3,7.6,PB,5.1,8.3,102,119,187,6.7PB 5.0/8.5,6.7,PB,5.0,8.5,0.90,0.10,-0.20,7.0
#545aa7,84,90,167,7.1PB 4.0/9.7,7.1,PB,4.0,9.7,85,85,170,8.3PB 3.9/10.6,8.3,PB,3.9,10.6,1.20,0.10,-0.90,5.9
#272458,39,36,88,7.5B 1.5/5.8,7.5,B,1.5,5.8,34,34,85,7.6PB 1.6/6.5,7.6,PB,1.6,6.5,10.10,-0.10,-0.70,6.2
#b3bce2,179,188,226,3.9PB 7.6/4.0,3.9,PB,7.6,4.0,187,187,221,7.3PB 7.6/3.5,7.3,PB,7.6,3.5,3.40,0.00,0.50,9.5
#8791bf,135,145,191,6.8PB 6.0/5.7,6.8,PB,6.0,5.7,136,136,187,8.2PB 5.7/5.8,8.2,PB,5.7,5.8,1.40,0.30,-0.10,9.9
#4e5180,78,81,128,7.9PB 3.8/5.9,7.9,PB,3.8,5.9,85,85,136,8.1PB 3.8/5.9,8.1,PB,3.8,5.9,0.20,0.00,0.00,11.4
#252440,37,36,64,7.5B 1.4/3.7,7.5,B,1.4,3.7,34,34,68,7.6PB 1.5/4.1,7.6,PB,1.5,4.1,10.10,-0.10,-0.40,5.4
#c0c8e1,192,200,225,9.8B 8.1/3.0,9.8,B,8.1,3.0,187,204,221,5.0B 8.1/2.2,5,B,8.1,2.2,4.80,0.00,0.80,7.5
#8c92ac,140,146,172,3.1PB 6.0/3.1,3.1,PB,6.0,3.1,136,153,170,6.8B 6.1/2.3,6.8,B,6.1,2.3,6.30,-0.10,0.80,8.3
#4c516d,76,81,109,6.5PB 3.7/3.8,6.5,PB,3.7,3.8,68,85,102,8.5B 3.5/2.2,8.5,B,3.5,2.2,8.00,0.20,1.60,11.4
#9065ca,144,101,202,2.6P 5.0/13.2,2.6,P,5.0,13.2,136,102,204,1.2P 5.0/12.6,1.2,P,5.0,12.6,1.40,0.00,0.60,8.3
#7e73b8,126,115,184,9.5PB 5.1/8.1,9.5,PB,5.1,8.1,119,119,187,8.4PB 5.2/8.2,8.4,PB,5.2,8.2,1.10,-0.10,-0.10,8.6
#604e97,96,78,151,10PB 3.7/8.9,10,PB,3.7,8.9,102,85,153,0.3P 4.0/8.3,0.3,P,4.0,8.3,0.30,-0.30,0.60,9.4
#32174d,50,23,77,10B 1.3/5.1,10,B,1.3,5.1,51,17,68,3.8P 1.2/6.8,3.8,P,1.2,6.8,13.80,0.10,-1.70,10.9
#dcd0ff,220,208,255,1.7P 8.6/5.0,1.7,P,8.6,5.0,221,204,255,2.2P 8.4/5.1,2.2,P,8.4,5.1,0.50,0.20,-0.10,4.1
#8c82b6,140,130,182,10PB 5.5/5.8,10,PB,5.5,5.8,136,136,187,8.2PB 5.7/5.8,8.2,PB,5.7,5.8,1.80,-0.20,0.00,8.8
#604e81,96,78,129,1.6P 3.8/6.5,1.6,P,3.8,6.5,102,85,136,1.2P 3.9/5.9,1.2,P,3.9,5.9,0.40,-0.10,0.60,11.6
#2f2140,47,33,64,10B 1.4/3.5,10,B,1.4,3.5,51,34,68,2.4P 1.6/4.0,2.4,P,1.6,4.0,12.40,-0.20,-0.50,5.7
#c4c3dd,196,195,221,5.4PB 8.0/2.7,5.4,PB,8.0,2.7,204,187,221,4.2P 7.8/3.5,4.2,P,7.8,3.5,8.80,0.20,-0.80,11.3
#9690ab,150,144,171,9.3PB 6.0/3.1,9.3,PB,6.0,3.1,153,136,170,3.8P 5.8/3.7,3.8,P,5.8,3.7,4.50,0.20,-0.60,8.6
#554c69,85,76,105,9.5B 3.6/3.4,9.5,B,3.6,3.4,85,68,102,3.1P 3.1/3.6,3.1,P,3.1,3.6,13.60,0.50,-0.20,8.5
#9a4eae,154,78,174,6.7P 4.5/13.2,6.7,P,4.5,13.2,153,85,170,6.5P 4.6/11.2,6.5,P,4.6,11.2,0.20,-0.10,2.00,8.1
#d399e6,211,153,230,6.2P 7.1/9.8,6.2,P,7.1,9.8,204,153,238,5.1P 7.0/10.3,5.1,P,7.0,10.3,1.10,0.10,-0.50,10.6
#875692,135,86,146,5.6P 4.3/7.1,5.6,P,4.3,7.1,136,85,153,6.1P 4.3/8.8,6.1,P,4.3,8.8,0.50,0.00,-1.70,7.1
